root;heuristics;blind;hmax;merge_and_shrink;method;all_transition_systems;all_transition_systems_with_fixpoint;two_transition_systems;shrink_strategy;shrink_bisimulation;shrink_fh;lmcut;lmcount;lm_factory;lm_exhaust;lm_optimal;exhaust_only_causal_landmarks;lm_hm;conjunctive_landmarks;hm_use_orders;lm_rhw;rhw_disjunctive_landmarks;rhw_use_orders;rhw_only_causal_landmarks;lm_zg;zg_use_orders;ipdb;cegar;subtasks;landmarks;goals;original;operatorcounting;constraint_generators;delete_relaxation_constraints;use_integer_vars;use_time_vars;state_equation_constraints;use_integer_operator_counts;count_lpsolver;count_cplex;count_soplex;all_states_potential;states_lpsolver;states_cplex;states_soplex;sample_based_potentials;sample_lpsolver;sample_cplex;sample_soplex;diverse_potentials;workloads;airport_p07airport2p2;barmanopt11strips_pfile01001;blocks_probBLOCKS100;datanetworkopt18strips_p13;depot_p10;driverlog_p08;elevatorsopt08strips_p24;elevatorsopt11strips_p20;floortileopt11strips_optp01002;freecell_prob45;gedopt14strips_d76;grid_prob02;gripper_prob07;hikingopt14strips_ptesting234;logistics00_probLOGISTICS71;logistics98_prob31;miconic_s132;movie_prob29;mprime_prob02;mystery_prob30;nomysteryopt11strips_p17;openstacksopt08strips_p12;openstacksopt11strips_p07;openstacksopt14strips_p20_3;openstacksstrips_p07;organicsynthesisopt18strips_p09;organicsynthesissplitopt18strips_p01;parcprinter08strips_p25;parcprinteropt11strips_p10;pathways_p04;pegsol08strips_p25;pegsolopt11strips_p15;pipesworldnotankage_p12net2b10g4;pipesworldtankage_p31net4b14g3t20;psrsmall_p48s101n5l3f30;rovers_p07;satellite_p06pfile6;scanalyzer08strips_p06;scanalyzeropt11strips_p12;snakeopt18strips_p04;sokobanopt08strips_p22;sokobanopt11strips_p17;storage_p14;termesopt18strips_p18;tetrisopt14strips_p024;tidybotopt11strips_p01;tpp_p06;transportopt08strips_p04;transportopt11strips_p06;transportopt14strips_p14;trucksstrips_p08;visitallopt11strips_problem06full;visitallopt14strips_p057;woodworkingopt08strips_p24;woodworkingopt11strips_p05;zenotravel_p11;revision;performance
1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;19_06;7.99246
1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;19_06;1.312142
1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;19_06;1.316808
1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;19_06;0.427813
1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;19_06;0.302235
1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;19_06;0.676705
1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;19_06;66.74748
1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;19_06;15.16616
1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;19_06;14.92602
1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;19_06;0.872069
